short_name,age,nationality_name,overall,potential,club_name,value_eur,wage_eur,player_positions
İ. Gündoğan,30,Germany,85,85,Manchester City,51500000.0,185000.0,CM
M. Reus,32,Germany,85,85,Borussia Dortmund,43000000.0,95000.0,CAM
K. Walker,31,England,85,85,Manchester City,39000000.0,170000.0,RB
Koke,29,Spain,85,85,Atlético de Madrid,52500000.0,90000.0,CM
A. Griezmann,30,France,85,85,Atlético de Madrid,53000000.0,220000.0,ST
Roberto Firmino,29,Brazil,85,85,Liverpool,54000000.0,185000.0,CF
Carvajal,29,Spain,85,85,Real Madrid CF,47500000.0,210000.0,RB
Jorginho,29,Italy,85,85,Chelsea,52500000.0,170000.0,CM
S. Gnabry,25,Germany,85,86,FC Bayern München,64500000.0,110000.0,RM
Oyarzabal,24,Spain,85,89,Real Sociedad,77500000.0,57000.0,LW
L. Martínez,23,Argentina,85,89,Inter,78000000.0,145000.0,ST
M. Rashford,23,England,85,89,Manchester United,77500000.0,150000.0,LM
Jesús Navas,35,Spain,84,84,Sevilla FC,13000000.0,30000.0,RB
Piqué,34,Spain,84,84,FC Barcelona,13500000.0,175000.0,CB
J. Henderson,31,England,84,84,Liverpool,29500000.0,140000.0,CDM
Fernando,33,Brazil,84,84,Sevilla FC,21000000.0,43000.0,CDM
K. Trippier,30,England,84,84,Atlético de Madrid,36500000.0,74000.0,RB
Iago Aspas,33,Spain,84,84,RC Celta de Vigo,27000000.0,46000.0,ST
De Gea,30,Spain,84,84,Manchester United,28000000.0,120000.0,GK
Luis Alberto,28,Spain,84,84,Lazio,42500000.0,95000.0,CAM
W. Ben Yedder,30,France,84,84,AS Monaco,41500000.0,88000.0,ST
L. Digne,27,France,84,84,Everton,40500000.0,110000.0,LB
E. Martínez,28,Argentina,84,85,Aston Villa,33500000.0,81000.0,GK
H. Maguire,28,England,84,86,Manchester United,42500000.0,155000.0,CB
L. Shaw,25,England,84,86,Manchester United,48500000.0,140000.0,LB
J. Grealish,25,England,84,85,Manchester City,50500000.0,180000.0,LW
M. Ginter,27,Germany,84,85,Borussia Mönchengladbach,42500000.0,45000.0,CB
Felipe,32,Brazil,84,84,Atlético de Madrid,27500000.0,74000.0,CB
R. Guerreiro,27,Portugal,84,84,Borussia Dortmund,40500000.0,79000.0,LB
Ricardo Pereira,27,Portugal,84,84,Leicester City,40500000.0,130000.0,RB
T. Werner,25,Germany,84,87,Chelsea,56500000.0,155000.0,ST
M. Maignan,25,France,84,89,AC Milan,49500000.0,45000.0,GK
N. Fekir,27,France,84,84,Real Betis Balompié,45000000.0,42000.0,CAM
L. Sané,25,Germany,84,87,FC Bayern München,56000000.0,105000.0,RM
N. Barella,24,Italy,84,89,Inter,63500000.0,120000.0,CM
M. Acuña,29,Argentina,84,84,Sevilla FC,37000000.0,45000.0,LB
André Silva,25,Portugal,84,85,RB Leipzig,51000000.0,110000.0,ST
T. Hernández,23,France,84,90,AC Milan,62500000.0,51000.0,LB
K. Havertz,22,Germany,84,92,Chelsea,94500000.0,130000.0,CAM
P. Foden,21,England,84,92,Manchester City,94500000.0,125000.0,CAM
Fernandinho,36,Brazil,83,83,Manchester City,7000000.0,100000.0,CDM
Sergio Asenjo,32,Spain,83,83,Villarreal CF,18000000.0,37000.0,GK
J. Boateng,32,Germany,83,83,Olympique Lyonnais,23500000.0,81000.0,CB
Azpilicueta,31,Spain,83,83,Chelsea,25000000.0,125000.0,CB
Paulinho,32,Brazil,83,83,Al Ahli,28500000.0,61000.0,CM
Muniain,28,Spain,83,83,Athletic Club de Bilbao,36500000.0,44000.0,CAM
Canales,30,Spain,83,83,Real Betis Balompié,34500000.0,38000.0,CM
Alex Sandro,30,Brazil,83,83,Juventus,31500000.0,95000.0,LB
B. Leno,29,Germany,83,84,Arsenal,28000000.0,87000.0,GK
F. Acerbi,33,Italy,83,83,Lazio,17500000.0,75000.0,CB
Allan,30,Brazil,83,83,Everton,30500000.0,100000.0,CDM
K. Volland,28,Germany,83,83,AS Monaco,37000000.0,83000.0,ST
Morata,28,Spain,83,83,Juventus,37000000.0,84000.0,ST
M. Icardi,28,Argentina,83,83,Paris Saint-Germain,37000000.0,120000.0,ST
L. Spinazzola,28,Italy,83,83,Roma,33000000.0,72000.0,LWB
J. Stones,27,England,83,86,Manchester City,41000000.0,140000.0,CB
N. Pope,29,England,83,83,Burnley,25000000.0,45000.0,GK
J. Pickford,27,England,83,85,Everton,33000000.0,83000.0,GK
A. Rüdiger,28,Germany,83,84,Chelsea,34500000.0,130000.0,CB
L. Ocampos,26,Argentina,83,83,Sevilla FC,39500000.0,46000.0,LW
Gayà,26,Spain,83,86,Valencia CF,43500000.0,48000.0,LB
T. Lemar,25,France,83,86,Atlético de Madrid,48000000.0,71000.0,LM
Á. Correa,26,Argentina,83,86,Atlético de Madrid,48000000.0,80000.0,ST
Angeliño,24,Spain,83,86,RB Leipzig,46000000.0,77000.0,LWB
L. Hernández,25,France,83,86,FC Bayern München,44500000.0,85000.0,LB
Marco Asensio,25,Spain,83,86,Real Madrid CF,48000000.0,190000.0,RW
R. Gosens,26,Germany,83,83,Atalanta,36000000.0,65000.0,LWB
Merino,25,Spain,83,87,Real Sociedad,50000000.0,47000.0,CM
P. Kimpembe,25,France,83,87,Paris Saint-Germain,45500000.0,90000.0,CB
F. Mendy,26,France,83,86,Real Madrid CF,43500000.0,170000.0,LB
A. Wan-Bissaka,23,England,83,87,Manchester United,48500000.0,115000.0,RB
Ronaldo Cabrais,29,Brazil,83,83,Grêmio,35500000.0,49000.0,CAM
Arthur,24,Brazil,83,85,Juventus,47000000.0,90000.0,CM
Gabriel Jesus,24,Brazil,83,87,Manchester City,52500000.0,150000.0,ST
O. Dembélé,24,France,83,88,FC Barcelona,55000000.0,165000.0,RW
M. Mount,22,England,83,89,Chelsea,58500000.0,120000.0,CAM
F. Chiesa,23,Italy,83,91,Juventus,80500000.0,74000.0,RW
J. Koundé,22,France,83,89,Sevilla FC,53000000.0,33000.0,CB
João Félix,21,Portugal,83,91,Atlético de Madrid,82000000.0,61000.0,CF
Pepe,38,Portugal,82,82,FC Porto,5500000.0,14000.0,CB
Raúl Albiol,35,Spain,82,82,Villarreal CF,8000000.0,30000.0,CB
S. Sirigu,34,Italy,82,82,Genoa,5000000.0,20000.0,GK
Rui Patrício,33,Portugal,82,82,Roma,10000000.0,51000.0,GK
É. Banega,33,Argentina,82,82,Al Shabab,15000000.0,46000.0,CDM
Yuri Berchiche,31,Spain,82,82,Athletic Club de Bilbao,22000000.0,35000.0,LB
L. Stindl,32,Germany,82,82,Borussia Mönchengladbach,24000000.0,41000.0,CAM
Oscar,29,Brazil,82,82,Shanghai Port FC,30000000.0,38000.0,CAM
K. Trapp,30,Germany,82,82,Eintracht Frankfurt,20500000.0,31000.0,GK
Coutinho,29,Brazil,82,82,FC Barcelona,30000000.0,165000.0,CAM
M. Götze,29,Germany,82,82,PSV,30000000.0,29000.0,CAM
A. Areola,28,France,82,84,West Ham United,26000000.0,75000.0,GK
A. Lacazette,30,France,82,82,Arsenal,30000000.0,110000.0,ST
O. Baumann,31,Germany,82,82,TSG Hoffenheim,16000000.0,37000.0,GK
Neto,31,Brazil,82,82,FC Barcelona,16000000.0,115000.0,GK
Isco,29,Spain,82,82,Real Madrid CF,30000000.0,175000.0,CAM
A. Lopes,30,Portugal,82,83,Olympique Lyonnais,23000000.0,60000.0,GK
Campaña,28,Spain,82,82,Levante Unión Deportiva,30500000.0,43000.0,CM
Gabriel Paulista,30,Brazil,82,82,Valencia CF,25000000.0,44000.0,CB
J. Veretout,28,France,82,83,Roma,29500000.0,66000.0,CDM
Suso,27,Spain,82,82,Sevilla FC,32500000.0,42000.0,RW
Juan Bernat,28,Spain,82,82,Paris Saint-Germain,27500000.0,90000.0,LB
Portu,29,Spain,82,82,Real Sociedad,30000000.0,51000.0,RW
E. Can,27,Germany,82,83,Borussia Dortmund,35000000.0,72000.0,CM
Saúl,26,Spain,82,85,Chelsea,39500000.0,68000.0,CM
Grimaldo,25,Spain,82,85,SL Benfica,37000000.0,18000.0,LB
A. Romagnoli,26,Italy,82,83,AC Milan,31500000.0,49000.0,CB
D. Berardi,26,Italy,82,82,U.S. Sassuolo Calcio,33500000.0,51000.0,RW
N. Tagliafico,28,Argentina,82,82,Ajax,27500000.0,24000.0,LB
P. Gollini,26,Italy,82,87,Tottenham Hotspur,35000000.0,48000.0,GK
N. Süle,25,Germany,82,87,FC Bayern München,40500000.0,78000.0,CB
Alex Telles,28,Brazil,82,82,Manchester United,27500000.0,130000.0,LB
Anderson Talisca,27,Brazil,82,83,Al Nassr,35500000.0,61000.0,CF
R. De Paul,27,Argentina,82,83,Atlético de Madrid,35000000.0,68000.0,CM
Rafa,28,Portugal,82,82,SL Benfica,30500000.0,22000.0,RM
Diego Carlos,28,Brazil,82,84,Sevilla FC,30500000.0,37000.0,CB
C. Lenglet,26,France,82,86,FC Barcelona,37500000.0,145000.0,CB
J. Maddison,24,England,82,85,Leicester City,41500000.0,100000.0,CAM
M. Locatelli,23,Italy,82,87,Juventus,42000000.0,74000.0,CDM
Rúben Neves,24,Portugal,82,87,Wolverhampton Wanderers,46000000.0,89000.0,CM
Diogo Jota,24,Portugal,82,87,Liverpool,46000000.0,120000.0,LW
J. Gomez,24,England,82,88,Liverpool,43500000.0,100000.0,CB
Fabián,25,Spain,82,86,Napoli,42000000.0,77000.0,CM
Palhinha,25,Portugal,82,87,Sporting CP,41000000.0,18000.0,CDM
D. Upamecano,22,France,82,90,FC Bayern München,64000000.0,70000.0,CB
Mario Hermoso,26,Spain,82,85,Atlético de Madrid,35500000.0,62000.0,CB
B. Chilwell,24,England,82,86,Chelsea,40500000.0,100000.0,LWB
Raphaelinho Anjos,33,Brazil,82,82,RB Bragantino,10000000.0,20000.0,GK
Josué Chiamulera,29,Brazil,82,82,Grêmio,25500000.0,41000.0,CB
Unai Simón,24,Spain,82,86,Athletic Club de Bilbao,34500000.0,24000.0,GK
Richarlison,24,Brazil,82,87,Everton,46500000.0,100000.0,ST
C. Romero,23,Argentina,82,87,Tottenham Hotspur,41500000.0,51000.0,CB
Raphinha,24,Brazil,82,87,Leeds United,46000000.0,89000.0,RM
D. Rice,22,England,82,87,West Ham United,43000000.0,69000.0,CDM
F. Neuhaus,24,Germany,82,87,Borussia Mönchengladbach,46000000.0,36000.0,CM
T. Ndombele,24,France,82,87,Tottenham Hotspur,46000000.0,95000.0,CAM
Éder Militão,23,Brazil,82,89,Real Madrid CF,56500000.0,130000.0,CB
Ferran Torres,21,Spain,82,90,Manchester City,68500000.0,120000.0,RW
Pau Torres,24,Spain,82,89,Villarreal CF,56500000.0,35000.0,CB
Dani Olmo,23,Spain,82,87,RB Leipzig,46000000.0,78000.0,CAM
Joaquín,39,Spain,81,81,Real Betis Balompié,8500000.0,23000.0,RM
Nani,34,Portugal,81,81,Orlando City Soccer Club,12000000.0,14000.0,LW
A. Gignac,35,France,81,81,Tigres U.A.N.L.,11000000.0,50000.0,ST
A. Consigli,34,Italy,81,81,U.S. Sassuolo Calcio,4400000.0,32000.0,GK
S. Mandanda,36,France,81,81,Olympique de Marseille,2900000.0,24000.0,GK
G. Higuaín,33,Argentina,81,81,Inter Miami CF,16500000.0,14000.0,ST
José Fonte,37,Portugal,81,81,LOSC Lille,4600000.0,30000.0,CB
Lucas Leiva,34,Brazil,81,81,Lazio,9000000.0,64000.0,CDM
Adán,34,Spain,81,81,Sporting CP,4400000.0,14000.0,GK
M. Kruse,33,Germany,81,81,1. FC Union Berlin,16500000.0,45000.0,CF
B. André,30,France,81,81,LOSC Lille,21500000.0,43000.0,CDM
N. Otamendi,33,Argentina,81,81,SL Benfica,12500000.0,18000.0,CB
Aitor,30,Spain,81,81,Levante Unión Deportiva,17000000.0,28000.0,GK
D. Ings,28,England,81,81,Aston Villa,26500000.0,90000.0,ST
Pizzi,31,Portugal,81,81,SL Benfica,21000000.0,19000.0,CM
Jonathan Viera,31,Spain,81,81,Unión Deportiva Las Palmas,21500000.0,15000.0,CAM
Danilo,29,Brazil,81,81,Juventus,22500000.0,83000.0,RB
Sergi Roberto,29,Spain,81,81,FC Barcelona,22500000.0,140000.0,RB
Paco Alcácer,27,Spain,81,81,Villarreal CF,28000000.0,45000.0,ST
Nacho Fernández,31,Spain,81,81,Real Madrid CF,17500000.0,140000.0,CB
Danilo Pereira,29,Portugal,81,81,Paris Saint-Germain,22000000.0,85000.0,CDM
Lucas Moura,28,Brazil,81,81,Tottenham Hotspur,26000000.0,105000.0,RM
A. Marchesín,33,Argentina,81,81,FC Porto,8500000.0,14000.0,GK
J. Tarkowski,28,England,81,82,Burnley,24500000.0,46000.0,CB
A. Florenzi,30,Italy,81,81,AC Milan,22000000.0,58000.0,RB
K. Zouma,26,France,81,84,West Ham United,30000000.0,75000.0,CB
Iñigo Martínez,30,Spain,81,81,Athletic Club de Bilbao,21000000.0,33000.0,CB
J. Ward-Prowse,26,England,81,84,Southampton,33500000.0,69000.0,CM
A. Cragno,27,Italy,81,83,Cagliari,23500000.0,32000.0,GK
M. Arnold,27,Germany,81,82,VfL Wolfsburg,26500000.0,66000.0,CDM
L. Paredes,27,Argentina,81,83,Paris Saint-Germain,28000000.0,81000.0,CDM
A. Belotti,27,Italy,81,82,Torino F.C.,30000000.0,61000.0,ST
Lucas Vázquez,30,Spain,81,81,Real Madrid CF,25000000.0,170000.0,RW
Fred,28,Brazil,81,81,Manchester United,22500000.0,120000.0,CDM
A. Rabiot,26,France,81,82,Juventus,30000000.0,87000.0,CM
Rui Silva,27,Portugal,81,84,Real Betis Balompié,25500000.0,24000.0,GK
Otávio,26,Portugal,81,82,FC Porto,30500000.0,19000.0,LM
A. Martial,25,France,81,84,Manchester United,34500000.0,130000.0,ST
J. Brandt,25,Germany,81,85,Borussia Dortmund,36000000.0,64000.0,CAM
J. Musso,27,Argentina,81,83,Atalanta,23500000.0,44000.0,GK
J. Correa,26,Argentina,81,82,Inter,31000000.0,76000.0,CF
Iñaki Williams,27,Spain,81,82,Athletic Club de Bilbao,30000000.0,39000.0,ST
M. Politano,27,Italy,81,81,Napoli,27500000.0,74000.0,RM
Morales,33,Spain,81,81,Levante Unión Deportiva,16500000.0,41000.0,ST
D. Calvert-Lewin,24,England,81,85,Everton,37500000.0,90000.0,ST
David Soria,28,Spain,81,82,Getafe CF,20500000.0,30000.0,GK
K. Phillips,25,England,81,85,Leeds United,32500000.0,82000.0,CDM
Gonçalo Guedes,24,Portugal,81,86,Valencia CF,39000000.0,39000.0,LM
N. Mukiele,23,France,81,85,RB Leipzig,34500000.0,65000.0,RWB
G. Lo Celso,25,Argentina,81,85,Tottenham Hotspur,35500000.0,95000.0,CM
Álex Remiro,26,Spain,81,84,Real Sociedad,26000000.0,31000.0,GK
Yeray,26,Spain,81,83,Athletic Club de Bilbao,28000000.0,33000.0,CB
L. Pellegrini,25,Italy,81,86,Roma,38000000.0,61000.0,CAM
Juiano Mestres,25,Brazil,81,81,Clube Atlético Mineiro,25000000.0,41000.0,CB
Adryan Zonta,29,Brazil,81,81,RB Bragantino,22500000.0,24000.0,LWB
Rosberto Dourado,21,Brazil,81,81,Sport Club Corinthians Paulista,27000000.0,26000.0,CDM
Louri Beretta,29,Brazil,81,81,RB Bragantino,25500000.0,28000.0,ST
Welington Dano,21,Brazil,81,81,Clube Atlético Mineiro,27500000.0,31000.0,LB
Oswaldinato,29,Brazil,81,81,Flamengo,25500000.0,56000.0,ST
C. Nkunku,23,France,81,86,RB Leipzig,39000000.0,72000.0,CAM
Lucas Paquetá,23,Brazil,81,86,Olympique Lyonnais,38500000.0,65000.0,CM
Carlos Soler,24,Spain,81,88,Valencia CF,51500000.0,39000.0,CM
H. Barnes,23,England,81,84,Leicester City,35000000.0,95000.0,LM
H. Aouar,23,France,81,86,Olympique Lyonnais,38500000.0,65000.0,CM
M. Lazzari,27,Italy,81,81,Lazio,25000000.0,64000.0,RWB
R. James,21,England,81,86,Chelsea,37000000.0,76000.0,RWB
Cucurella,22,Spain,81,87,Brighton & Hove Albion,41500000.0,63000.0,LM
Pedro Gonçalves,23,Portugal,81,88,Sporting CP,51500000.0,19000.0,RW
M. Diaby,21,France,81,88,Bayer 04 Leverkusen,52500000.0,52000.0,LW
Reguilón,24,Spain,81,84,Tottenham Hotspur,32500000.0,79000.0,LB
Renan Lodi,23,Brazil,81,86,Atlético de Madrid,36500000.0,49000.0,LB
Pedri,18,Spain,81,91,FC Barcelona,54000000.0,51000.0,CM
G. Buffon,43,Italy,80,80,Parma,2300000.0,18000.0,GK
João Moutinho,34,Portugal,80,80,Wolverhampton Wanderers,9500000.0,88000.0,CM
Raúl García,34,Spain,80,80,Athletic Club de Bilbao,10500000.0,36000.0,ST
Marcelo,33,Brazil,80,80,Real Madrid CF,11000000.0,135000.0,LB
D. Payet,34,France,80,80,Olympique de Marseille,10000000.0,51000.0,LW
Nacho Monreal,35,Spain,80,80,Real Sociedad,6500000.0,26000.0,LB
A. Ogbonna,33,Italy,80,80,West Ham United,10000000.0,70000.0,CB
José Callejón,34,Spain,80,80,Fiorentina,10000000.0,61000.0,RM
Rafael Tolói,30,Italy,80,80,Atalanta,17500000.0,51000.0,CB
F. Coquelin,30,France,80,80,Villarreal CF,20000000.0,39000.0,CM
Guaita,34,Spain,80,80,Crystal Palace,3600000.0,48000.0,GK
E. Salvio,30,Argentina,80,80,Boca Juniors,20500000.0,23000.0,RM
R. Pereyra,30,Argentina,80,80,Udinese Calcio,20000000.0,23000.0,CM
E. Pérez,35,Argentina,80,80,River Plate,6000000.0,15000.0,CDM
M. Perin,28,Italy,80,82,Juventus,18000000.0,64000.0,GK
Sérgio Oliveira,29,Portugal,80,80,FC Porto,20500000.0,19000.0,CM
Bartra,30,Spain,80,80,Real Betis Balompié,17500000.0,28000.0,CB
Pablo Sarabia,29,Spain,80,80,Sporting CP,20500000.0,95000.0,RW
João Pedro,29,Brazil,80,80,Cagliari,21000000.0,46000.0,CF
Ismaily,31,Brazil,80,80,Shakhtar Donetsk,15500000.0,1000.0,LB
Rafinha,28,Brazil,80,80,Paris Saint-Germain,21000000.0,86000.0,CM
J. Draxler,27,Germany,80,81,Paris Saint-Germain,24500000.0,83000.0,CAM
D. Demme,29,Germany,80,80,Napoli,18000000.0,66000.0,CDM
Pozuelo,29,Spain,80,80,Toronto FC,20500000.0,13000.0,CAM
F. Thauvin,28,France,80,80,Tigres U.A.N.L.,21000000.0,64000.0,RW
S. Umtiti,27,France,80,80,FC Barcelona,19500000.0,125000.0,CB
T. Savanier,29,France,80,80,Montpellier Hérault SC,20500000.0,35000.0,CM
E. Andrada,30,Argentina,80,81,CF Monterrey,16000000.0,43000.0,GK
M. Keane,28,England,80,81,Everton,20000000.0,84000.0,CB
Roger,30,Spain,80,80,Levante Unión Deportiva,20500000.0,38000.0,ST
G. Laborde,27,France,80,81,Stade Rennais FC,24500000.0,59000.0,ST
Pacheco,29,Spain,80,82,Deportivo Alavés,17500000.0,25000.0,GK
Jonny,27,Spain,80,81,Wolverhampton Wanderers,22000000.0,81000.0,LWB
D. Alli,25,England,80,82,Tottenham Hotspur,26500000.0,90000.0,CAM
P. Max,27,Germany,80,81,PSV,22000000.0,22000.0,LB
João Mário,28,Portugal,80,80,SL Benfica,21000000.0,19000.0,CM
F. Armani,34,Argentina,80,80,River Plate,3600000.0,17000.0,GK
W. Benítez,28,Argentina,80,82,OGC Nice,18000000.0,32000.0,GK
G. Rulli,29,Argentina,80,80,Villarreal CF,14500000.0,31000.0,GK
Capa,29,Spain,80,80,Athletic Club de Bilbao,18500000.0,32000.0,RB
G. Di Lorenzo,27,Italy,80,80,Napoli,20500000.0,63000.0,RB
C. Tolisso,26,France,80,81,FC Bayern München,24500000.0,78000.0,CM
Embarba,29,Spain,80,80,RCD Espanyol de Barcelona,20500000.0,26000.0,RM
Pau López,26,Spain,80,80,Olympique de Marseille,16500000.0,44000.0,GK
L. Klostermann,25,Germany,80,84,RB Leipzig,26500000.0,67000.0,CB
Everton,25,Brazil,80,83,SL Benfica,28000000.0,17000.0,LM
Borja Iglesias,28,Spain,80,80,Real Betis Balompié,21500000.0,34000.0,ST
Joan Jordán,26,Spain,80,81,Sevilla FC,24500000.0,33000.0,CM
J. Bamba,25,France,80,83,LOSC Lille,28000000.0,42000.0,LM
Álex Berenguer,25,Spain,80,81,Athletic Club de Bilbao,25000000.0,32000.0,RM
Nélson Semedo,27,Portugal,80,81,Wolverhampton Wanderers,22000000.0,81000.0,RWB
G. Mancini,25,Italy,80,84,Roma,26500000.0,52000.0,CB
S. Sensi,25,Italy,80,83,Inter,27500000.0,95000.0,CM
Gerson,24,Brazil,80,84,Olympique de Marseille,30000000.0,41000.0,CM
Maikel Catarino,25,Brazil,80,80,Sport Club Corinthians Paulista,21000000.0,33000.0,RB
Héniton Pires,25,Brazil,80,80,Flamengo,17000000.0,33000.0,GK
Laure Santeiro,21,Brazil,80,80,Fluminense,25000000.0,23000.0,CAM
Tony Abranjes,33,Brazil,80,80,Internacional,10000000.0,32000.0,CB
Renato Sanches,23,Portugal,80,86,LOSC Lille,33000000.0,38000.0,CM
D. Henderson,24,England,80,87,Manchester United,36000000.0,70000.0,GK
B. Kamara,21,France,80,86,Olympique de Marseille,31000000.0,30000.0,CDM
A. Bastoni,22,Italy,80,89,Inter,44500000.0,77000.0,CB
Vinícius Jr.,20,Brazil,80,90,Real Madrid CF,46500000.0,120000.0,LW
R. Baku,23,Germany,80,85,VfL Wolfsburg,32000000.0,59000.0,RM
Unai Núñez,24,Spain,80,84,Athletic Club de Bilbao,27000000.0,26000.0,CB
Pedro Porro,21,Spain,80,87,Sporting CP,40500000.0,80000.0,RWB
B. Saka,19,England,80,88,Arsenal,45500000.0,50000.0,RM
Iniesta,37,Spain,79,79,Vissel Kobe,5500000.0,10000.0,CM
J. Milner,35,England,79,79,Liverpool,7000000.0,76000.0,CM
F. Ribéry,38,France,79,79,US Salernitana 1919,6000000.0,41000.0,CF
B. Costil,33,France,79,79,FC Girondins de Bordeaux,5500000.0,24000.0,GK
B. Gomis,35,France,79,79,Al Hilal,7500000.0,38000.0,ST
B. Matuidi,34,France,79,79,Inter Miami CF,6000000.0,11000.0,CDM
A. Candreva,34,Italy,79,79,U.C. Sampdoria,8000000.0,25000.0,RM
M. Özil,32,Germany,79,79,Fenerbahçe SK,14000000.0,55000.0,CAM
N. Guzmán,35,Argentina,79,79,Tigres U.A.N.L.,1900000.0,26000.0,GK
O. Giroud,34,France,79,79,AC Milan,8500000.0,48000.0,ST
Montoro,33,Spain,79,79,Granada CF,8500000.0,26000.0,CDM
Y. M'Vila,31,France,79,79,Olympiacos CFP,12500000.0,2000.0,CDM
Rafael Carioca,32,Brazil,79,79,Tigres U.A.N.L.,11500000.0,49000.0,CDM
M. Suárez,33,Argentina,79,79,River Plate,11000000.0,24000.0,ST
Iborra,33,Spain,79,79,Villarreal CF,8500000.0,34000.0,CDM
A. Cresswell,31,England,79,79,West Ham United,12500000.0,66000.0,LB
B. Mee,31,England,79,79,Burnley,12000000.0,39000.0,CB
Illarramendi,31,Spain,79,79,Real Sociedad,12500000.0,34000.0,CDM
M. Silvestri,30,Italy,79,79,Udinese Calcio,11500000.0,16000.0,GK
S. El Shaarawy,28,Italy,79,79,Roma,17500000.0,64000.0,LW
Ander Herrera,31,Spain,79,79,Paris Saint-Germain,14500000.0,78000.0,CM
Marcos Alonso,30,Spain,79,79,Chelsea,15000000.0,95000.0,LWB
Mario Gaspar,30,Spain,79,79,Villarreal CF,15000000.0,34000.0,RB
L. Rodríguez,36,Argentina,79,79,Gimnasia y Esgrima La Plata,6000000.0,18000.0,ST
C. Wilson,29,England,79,79,Newcastle United,17500000.0,53000.0,ST
Germán,34,Spain,79,79,Granada CF,5500000.0,26000.0,CB
Rodrigo,30,Spain,79,79,Leeds United,17000000.0,83000.0,CAM
A. Oxlade-Chamberlain,27,England,79,79,Liverpool,18500000.0,100000.0,CM
